text,phonetic,part_of_speech,definition_en,definition_vi,example_en,example_vi,level,image_url
able,,adj.,,"có năng lực, có tài",,,A1,
abandon,,v.,,"cất, từ cất",,,A1,
about,,adv. Prep.,,"khoảng, về",,,A1,
above,,"prep., adv.",,"tại trên, lên trên",,,A1,
act,/ækt/,"n., v.",,"hành động, hành vi, cử chỉ, đối xử",,,A1,
add,/æd/,v.,,"cộng, thêm vào",,,A1,
afraid,/əˈfreɪd/,adj.,,"sợ, sợ hãi, hoảng sợ",,,A1,
after,/ˈɑːf.tər/,"prep., conj., adv.",,"sau, đằng sau, sau khi",,,A1,
again,/əˈɡen/,adv.,,"lại, nữa, lần nữa",,,A1,
against,/əˈɡenst/,prep.,,"chống lại, phản đối",,,A1,
age,/eɪdʒ/,n.,,tuổi,,,A1,
ago,/əˈɡəʊ/,adv.,,trước đây,,,A1,
agree,/əˈɡriː/,v.,,"chấp nhận, tán thành",,,A1,
air,/eər/,n.,,"không khí, bầu không khí, không gian",,,A1,
all,,"det., pron., adv.",,tất cả,,,A1,
allow,,v.,,"cho phép, để cho",,,A1,
also,,adv.,,"cũng, cũng vậy, cũng thế",,,A1,
always,,adv.,,cứ luôn,,,A1,
among,,prep.,,"giữa, tại giữa",,,A1,
an,,"từ cổ,nghĩa cổ",,; (thông tục); (tiếng địa phương) nếu,,,A1,
and,,conj.,,và,,,A1,
anger,,n.,,"sự tức giận, sự giận dữ",,,A1,
animal,,n.,,"động vật, thú vật",,,A1,
answer,,"n., v.",,sự trả lời; trả lời,,,A1,
any,,"det., pron., adv.",,"một người, vật nào đó; bất cứ; một chút nào, tí nào",,,A1,
appear,,v.,,"xuất hiện, hiện ra, trình diện",,,A1,
apple,,n.,,quả táo,,,A1,
are,,,,"A (đơn vị diện tích ruộng đất, bằng 100m2)",,,A1,
area,,n.,,"diện tích, bề mặt",,,A1,
arm,,"n., v.",,"cánh tay; vũ trang, trang bị (vũ khí)",,,A1,
arrange,,v.,,"bố trí, sắp đặt, sửa soạn",,,A1,
arrive,,v. (+at in,,") đến, tới nơi",,,A1,
art,,n.,,"nghệ thuật, mỹ thuật",,,A1,
as,,"prep., adv., conj.",,như (as you know...),,,A1,
ask,,v.,,hỏi,,,A1,
at,,,,tại ở (chỉ vị trí),,,A1,
atom,,n.,,nguyên tử,,,A1,
baby,,,,đứa bé mới sinh; trẻ thơ,,,A1,
back,,"n., adj., adv., v.",,"lưng, về phía sau, trở lại",,,A1,
bad,,adj.,,"xấu, tồi",,,A1,
ball,,n.,,quả bóng,,,A1,
band,,n.,,"băng, đai, nẹp",,,A1,
bank,,,,"ngân hàng, (n.) bờ (sông...), đê",,,A1,
bar,,n.,,quán bán rượu,,,A1,
base,,"n., v.",,"cơ sở, cơ bản, nền móng; đặt tên, đặt cơ sở trên cái gì",,,A1,
basic,,adj.,,"cơ bản, cơ sở",,,A1,
bat,,"thể dục,thể thao",,"gậy (đánh bóng chày, crikê); (từ cổ,nghĩa cổ) vợt (quần vợt)",,,A1,
be,,,,"thì, là",,,A1,
bear,,v.,,"mang, cầm, vác, đeo, ôm",,,A1,
beat,,"n., v.",,"tiếng đập, sự đập; đánh đập, đấm",,,A1,
