text,phonetic,part_of_speech,definition_en,definition_vi,example_en,example_vi,level
apple,/ˈæp.əl/,noun,a round fruit with red or green skin and white flesh,quả táo,I eat an apple every morning.,Tôi ăn một quả táo mỗi sáng.,A1
book,/bʊk/,noun,a written or printed work consisting of pages,quyển sách,She reads a book before bed.,Cô ấy đọc sách trước khi ngủ.,A1
cat,/kæt/,noun,a small domesticated animal kept as a pet,con mèo,The cat is sleeping on the sofa.,Con mèo đang ngủ trên ghế sofa.,A1
dog,/dɒɡ/,noun,a domesticated animal often kept as a pet or for work,con chó,My dog loves to play in the park.,Con chó của tôi thích chơi ở công viên.,A1
eat,/iːt/,verb,to put food in your mouth and swallow it,ăn,We eat dinner at seven o'clock.,Chúng tôi ăn tối lúc bảy giờ.,A1
friend,/frend/,noun,a person you like and enjoy spending time with,người bạn,She is my best friend.,Cô ấy là người bạn thân nhất của tôi.,A1
good,/ɡʊd/,adjective,of a high quality or standard,tốt,This is a good idea.,Đây là một ý kiến hay.,A1
happy,/ˈhæp.i/,adjective,feeling pleased and satisfied,vui vẻ,I am happy to see you.,Tôi vui khi gặp bạn.,A1
house,/haʊs/,noun,a building where people live,ngôi nhà,They live in a big house.,Họ sống trong một ngôi nhà lớn.,A1
idea,/aɪˈdɪə/,noun,a thought or suggestion about something,ý tưởng,That is a great idea.,Đó là một ý tưởng tuyệt vời.,A1
jump,/dʒʌmp/,verb,to push yourself up into the air using your legs,nhảy,The children love to jump on the trampoline.,Bọn trẻ thích nhảy trên tấm bạt lò xo.,A1
know,/nəʊ/,verb,to have information about something in your mind,biết,Do you know his name?,Bạn có biết tên anh ấy không?,A1
like,/laɪk/,verb,to enjoy or find something pleasant,thích,I like chocolate ice cream.,Tôi thích kem chocolate.,A1
milk,/mɪlk/,noun,white liquid produced by cows that people drink,sữa,She drinks a glass of milk every day.,Cô ấy uống một ly sữa mỗi ngày.,A1
name,/neɪm/,noun,a word or words that a person or thing is known by,tên,My name is Minh.,Tên tôi là Minh.,A1
open,/ˈəʊ.pən/,verb,to move something so it is no longer closed,mở,Please open the window.,Vui lòng mở cửa sổ.,A1
play,/pleɪ/,verb,to take part in a game or sport,chơi,The children play in the garden.,Bọn trẻ chơi trong vườn.,A1
quiet,/ˈkwaɪ.ət/,adjective,making little or no noise,yên tĩnh,Please be quiet in the library.,Vui lòng giữ yên lặng trong thư viện.,A1
run,/rʌn/,verb,to move quickly using your legs,chạy,He runs every morning for exercise.,Anh ấy chạy mỗi sáng để tập thể dục.,A1
sleep,/sliːp/,verb,to be in the natural state of rest when your eyes are closed,ngủ,I sleep for eight hours every night.,Tôi ngủ tám tiếng mỗi đêm.,A1
talk,/tɔːk/,verb,to say words to someone,nói chuyện,They talk on the phone every evening.,Họ nói chuyện điện thoại mỗi tối.,A1
use,/juːz/,verb,to do something with an object or tool,sử dụng,Use a pen to write your name.,Dùng bút để viết tên của bạn.,A1
very,/ˈver.i/,adverb,used to emphasize an adjective or adverb,rất,She is very tall.,Cô ấy rất cao.,A1
walk,/wɔːk/,verb,to move at a normal speed using your feet,đi bộ,We walk to school every day.,Chúng tôi đi bộ đến trường mỗi ngày.,A1
yesterday,/ˈjes.tə.deɪ/,adverb,on the day before today,hôm qua,I saw him yesterday at the market.,Tôi gặp anh ấy hôm qua ở chợ.,A1
zero,/ˈzɪə.rəʊ/,noun,the number 0,số không,The temperature dropped to zero.,Nhiệt độ giảm xuống còn không độ.,A1
animal,/ˈæn.ɪ.məl/,noun,a living creature that is not a plant or human,động vật,The zoo has many different animals.,Vườn thú có nhiều động vật khác nhau.,A1
baby,/ˈbeɪ.bi/,noun,a very young child,em bé,The baby is crying.,Em bé đang khóc.,A1
chair,/tʃeər/,noun,a seat with a back for one person,chiếc ghế,Please sit on the chair.,Vui lòng ngồi lên ghế.,A1
door,/dɔːr/,noun,a flat object that opens and closes at the entrance of a room,cánh cửa,Close the door when you leave.,Đóng cửa khi bạn ra ngoài.,A1
egg,/eɡ/,noun,an oval object produced by a female bird,quả trứng,I have two eggs for breakfast.,Tôi ăn hai quả trứng vào bữa sáng.,A1
face,/feɪs/,noun,the front part of your head where your eyes nose and mouth are,khuôn mặt,She washed her face in the morning.,Cô ấy rửa mặt vào buổi sáng.,A1
girl,/ɡɜːl/,noun,a female child,cô gái,The little girl is playing with a doll.,Cô bé đang chơi với búp bê.,A1
hand,/hænd/,noun,the part at the end of your arm with five fingers,bàn tay,He raised his hand to answer.,Anh ấy giơ tay để trả lời.,A1
ice,/aɪs/,noun,water that has frozen and become solid,nước đá,Add ice to your drink to make it cold.,Thêm đá vào đồ uống để làm lạnh.,A1
job,/dʒɒb/,noun,the work that someone does to earn money,công việc,She has a new job at the hospital.,Cô ấy có việc làm mới ở bệnh viện.,A1
key,/kiː/,noun,a small metal object used to open a lock,chìa khóa,I lost my house key.,Tôi mất chìa khóa nhà.,A1
leg,/leɡ/,noun,one of the two long parts of your body used for walking,cái chân,He broke his leg playing football.,Anh ấy gãy chân khi chơi bóng đá.,A1
map,/mæp/,noun,a drawing showing the roads and features of an area,bản đồ,Use the map to find the museum.,Dùng bản đồ để tìm bảo tàng.,A1
night,/naɪt/,noun,the part of the day when it is dark,ban đêm,Stars appear at night.,Các ngôi sao xuất hiện vào ban đêm.,A1
old,/əʊld/,adjective,having existed for a long time,cũ / già,This is an old building.,Đây là một tòa nhà cũ.,A1
